Name,Title,Pay,Exercised,Year born
Mr. Robert A. Iger,CEO & Director,5.63M,--,1951
Mr. Horacio E. Gutierrez,Senior EVP and Chief Legal & Compliance Officer,4.45M,--,1965
Ms. Kristina K. Schake,Senior EVP & Chief Communications Officer,2.09M,--,1971
Ms. Sonia L. Coleman,Senior EVP & Chief Human Resources Officer,1.92M,--,1973
Mr. Hugh F. Johnston,Senior Executive VP & CFO,--,--,1962
Mr. Carlos A. Gomez,Executive Vice President of Corporate Finance & Treasurer,--,--,--
Mr. Ronald L. Iden,Senior VP & Chief Security Officer,--,--,1947
Mr. Brent A. Woodford,"Executive Vice President of Controllership, Financial Planning & Tax",--,--,1963
Mr. Mahesh  Samat,Executive Vice President of Disney Consumer Products Commercialization for the Asia Pacific region,--,--,--
Ms. Rita  Ferro,President of Advertising Sales,--,--,--
